City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudness,Wind speed,Country,Date
84,castro,-24.7911,-50.0119,55.67,98,87,4.18,BR,1623294067
85,san quintin,30.4833,-115.95,62.04,78,100,20.6,MX,1623294314
86,gainesville,29.6516,-82.3248,80.31,71,1,0.0,US,1623294194
87,usinsk,65.9939,57.5281,51.33,70,100,2.82,RU,1623294315
88,saint-philippe,-21.3585,55.7679,71.15,78,63,14.74,RE,1623294315
89,muros,42.7762,-9.0603,59.85,85,2,8.12,ES,1623294315
90,yellowknife,62.456,-114.3525,62.56,36,13,10.0,CA,1623294316
91,saint george,37.1041,-113.5841,90.07,12,1,18.41,US,1623294036
92,lipari,38.4674,14.954,72.09,78,94,8.81,IT,1623294316
93,sur,22.5667,59.5289,89.08,62,6,6.24,OM,1623294316
94,saint-cyr-sur-loire,47.4,0.6667,64.65,86,0,4.61,FR,1623294316
95,chimbarongo,-34.7,-71.05,53.73,91,87,1.54,CL,1623294317
96,vila velha,-20.3297,-40.2925,71.94,88,5,1.01,BR,1623294123
97,mar del plata,-38.0023,-57.5575,61.09,1,100,3.0,AR,1623294317
98,longyearbyen,78.2186,15.6401,35.44,80,75,10.36,SJ,1623294190
99,newport,51.5877,-2.9984,62.46,93,100,6.62,GB,1623294113
100,dikson,73.5069,80.5464,29.59,85,100,10.83,RU,1623294318
101,katsuura,35.1333,140.3,87.24,67,0,8.61,JP,1623294318
102,port-gentil,-0.7193,8.7815,78.21,83,100,11.1,GA,1623294318
103,aksarka,66.5606,67.7975,48.02,64,82,9.33,RU,1623294318
104,namibe,-15.1961,12.1522,69.96,55,0,10.11,AO,1623294319
105,broken hill,-31.95,141.4333,56.17,57,28,28.72,AU,1623294319
106,namatanai,-3.6667,152.4333,85.23,71,74,9.08,PG,1623294319
107,jurm,36.8648,70.8342,74.01,44,3,1.7,AF,1623294319
108,lugovskoy,56.9585,64.529,57.42,52,100,5.93,RU,1623294320
109,cabedelo,-6.9811,-34.8339,76.08,83,61,9.91,BR,1623294320
110,bethel,41.3712,-73.414,77.58,85,1,4.61,US,1623294320
111,warri,5.5167,5.75,73.44,95,100,0.89,NG,1623294321
112,yumen,40.2833,97.2,80.2,20,86,20.13,CN,1623294321
113,korla,41.7597,86.1469,81.46,24,39,8.75,CN,1623294321
114,puerto ayora,-0.7393,-90.3518,72.55,91,1,5.01,EC,1623294321
115,tasiilaq,65.6145,-37.6368,41.16,82,100,7.87,GL,1623294322
116,ardu,59.0986,25.3541,57.67,66,38,2.48,EE,1623294322
117,santa isabel,-23.3156,-46.2214,65.66,97,97,2.68,BR,1623294322
118,baykit,61.67,96.37,47.59,46,69,11.63,RU,1623294322
119,kaitangata,-46.2817,169.8464,49.93,78,100,4.07,NZ,1623294323
120,souillac,-20.5167,57.5167,73.78,68,75,17.87,MU,1623294069
121,waipawa,-41.4122,175.5153,59.63,81,97,7.76,NZ,1623294323
122,kashan,33.9831,51.4364,83.79,22,0,7.87,IR,1623294323
123,khuzdar,27.7384,66.6434,85.24,45,0,3.76,PK,1623294324
124,severo-kurilsk,50.6789,156.125,47.61,79,41,9.33,RU,1623294324
125,east london,-33.0153,27.9116,61.65,49,2,6.17,ZA,1623294324
126,simnas,54.4,23.65,56.97,96,21,6.49,LT,1623294324
127,sao joao da barra,-21.6403,-41.0511,70.7,85,4,4.72,BR,1623294325
128,arraial do cabo,-22.9661,-42.0278,71.92,84,19,16.26,BR,1623294325
129,leshukonskoye,64.8989,45.7622,57.54,52,90,3.04,RU,1623294325
130,upata,8.0086,-62.3989,72.19,96,100,4.74,VE,1623294325
131,kuching,1.55,110.3333,84.42,79,20,3.44,MY,1623294326
132,bolila,6.3717,125.5714,80.58,83,96,5.01,PH,1623294326
133,san rafael,-34.6177,-68.3301,54.28,47,94,4.25,AR,1623294326
134,cap malheureux,-19.9842,57.6142,73.89,76,47,5.99,MU,1623294327
135,houma,29.5958,-90.7195,80.6,87,1,0.0,US,1623294327
136,sitka,57.0531,-135.33,53.49,71,90,10.36,US,1623294327
137,tommot,58.9564,126.2925,47.95,93,100,8.21,RU,1623294327
138,kavieng,-2.5744,150.7967,85.64,70,77,14.67,PG,1623294328
139,alekseyevsk,57.8406,108.3492,58.71,90,97,7.23,RU,1623294328
140,saint-pierre,-21.3393,55.4781,71.24,80,75,11.5,RE,1623294328
141,cidreira,-30.1811,-50.2056,62.89,97,57,11.65,BR,1623294329
142,college,64.8569,-147.8028,66.47,49,75,6.91,US,1623294329
143,port elizabeth,-33.918,25.5701,60.44,53,0,5.97,ZA,1623294329
144,lazaro cardenas,17.9583,-102.2,83.25,74,19,5.35,MX,1623294329
145,mahebourg,-20.4081,57.7,73.69,68,75,12.66,MU,1623294330
146,georgetown,5.4112,100.3354,75.13,94,40,2.91,MY,1623294089
147,kloulklubed,7.0419,134.2556,79.3,72,85,10.67,PW,1623294330
148,coquimbo,-29.9533,-71.3436,57.49,90,6,3.27,CL,1623294272
149,sibu,2.3,111.8167,81.32,88,93,1.14,MY,1623294330
150,san cristobal,7.7669,-72.225,64.98,87,86,1.68,VE,1623294331
151,sorong,-0.8833,131.25,84.34,70,45,7.31,ID,1623294262
152,fort nelson,58.8053,-122.7002,66.33,33,14,9.53,CA,1623294090
153,bengbu,32.9408,117.3608,81.64,55,100,1.74,CN,1623294331
154,leningradskiy,69.3833,178.4167,36.45,75,100,5.03,RU,1623294331
155,urambo,-5.0667,32.05,62.2,71,74,5.61,TZ,1623294332
156,klaksvik,62.2266,-6.589,49.12,95,100,27.11,FO,1623294332
157,vila franca do campo,37.7167,-25.4333,66.61,93,34,5.66,PT,1623294332
158,hirara,24.8,125.2833,81.39,81,94,16.13,JP,1623294332
159,umm lajj,25.0213,37.2685,81.68,63,0,8.66,SA,1623294322
160,kavaratti,10.5669,72.642,83.46,73,76,15.55,IN,1623294333
161,karratha,-20.7377,116.8463,76.37,44,100,14.45,AU,1623294333
162,meulaboh,4.1363,96.1285,82.0,67,99,1.88,ID,1623294333
163,laguna,38.421,-121.4238,67.1,50,1,8.01,US,1623294333
164,pangoa,-12.1167,-73.0,67.35,99,100,3.11,PE,1623294334
165,hambantota,6.1241,81.1185,82.74,94,20,18.7,LK,1623294334
166,kaeo,-35.1,173.7833,67.32,83,31,7.7,NZ,1623294334
167,santa maria,-29.6842,-53.8069,58.3,100,40,3.8,BR,1623294153
168,haines junction,60.7522,-137.5108,59.09,28,6,9.1,CA,1623294335
169,prince george,53.9166,-122.753,54.14,80,70,4.25,CA,1623294202
170,kruisfontein,-34.0033,24.7314,57.97,51,0,7.61,ZA,1623294335
171,pelym,61.0108,61.9978,59.43,38,33,4.88,RU,1623294335
172,teguldet,57.3064,88.1667,52.39,42,15,5.39,RU,1623294335
173,lata,40.1629,-8.3327,58.91,87,0,2.15,PT,1623294336
174,madang,-5.2246,145.7966,83.89,74,84,4.25,PG,1623294336
175,dwarka,22.2394,68.9678,86.5,72,2,16.53,IN,1623294336
176,gulfport,30.3674,-89.0928,82.45,84,20,3.44,US,1623294097
177,kingman,35.1894,-114.053,85.48,12,1,8.01,US,1623294337
178,alyangula,-13.8483,136.4192,74.34,52,100,15.52,AU,1623294337
179,tiznit,29.5833,-9.5,83.8,22,96,1.83,MA,1623294337
180,gamboma,-1.8764,15.8644,74.8,69,68,1.05,CG,1623294135
181,hayden,47.766,-116.7866,62.53,64,1,4.61,US,1623294338
182,maragogi,-9.0122,-35.2225,74.28,88,52,8.79,BR,1623294338
183,ilhabela,-23.7781,-45.3581,71.22,92,55,9.4,BR,1623294338
184,port augusta,-32.5,137.7667,55.71,55,3,20.49,AU,1623294338
185,faanui,-16.4833,-151.75,80.87,78,51,11.05,PF,1623294339
186,makakilo city,21.3469,-158.0858,82.72,54,1,13.8,US,1623294339
187,isangel,-19.55,169.2667,76.53,60,4,6.11,VU,1623294339
188,umm kaddadah,13.6017,26.6876,84.31,39,79,5.88,SD,1623294339
189,loei,17.4167,101.5,73.44,95,100,1.97,TH,1623294340
190,lompoc,34.6391,-120.4579,61.79,76,1,13.8,US,1623294340
191,tautira,-17.7333,-149.15,82.42,81,96,13.62,PF,1623294340
192,pangnirtung,66.1451,-65.7125,31.21,95,97,2.15,CA,1623294340
193,benjamin constant,-4.3831,-70.0311,72.18,96,78,2.68,BR,1623294341
194,geraldton,-28.7667,114.6,68.41,77,75,17.96,AU,1623294341
195,torbay,47.6666,-52.7314,44.28,86,100,1.01,CA,1623294335
196,praia da vitoria,38.7333,-27.0667,67.75,96,43,10.67,PT,1623294341
197,matara,5.9485,80.5353,82.0,82,31,12.66,LK,1623294342
198,san policarpo,12.1791,125.5072,84.52,67,100,2.24,PH,1623294342
199,abu samrah,35.3029,37.1841,67.46,55,16,7.87,SY,1623294342
200,banjar,-8.19,114.9675,84.06,70,36,2.24,ID,1623294342
201,kulautuva,54.9333,23.6,57.2,92,29,4.68,LT,1623294343
202,taltal,-25.4,-70.4833,61.11,71,1,4.72,CL,1623294343
203,deputatskiy,69.3,139.9,50.99,34,98,5.3,RU,1623294343
204,kodiak,57.79,-152.4072,47.71,87,90,19.57,US,1623294343
205,ponta do sol,32.6667,-17.1,70.43,44,21,3.42,PT,1623294344
206,aksha,50.2814,113.2867,70.74,38,2,4.79,RU,1623294344
207,guerrero negro,27.9769,-114.0611,63.05,81,64,17.16,MX,1623294344
208,pisco,-13.7,-76.2167,62.02,84,92,2.1,PE,1623294323
209,waw,7.7029,27.9953,75.22,64,92,2.53,SS,1623294345
210,chicama,-7.8447,-79.1469,66.51,86,99,6.08,PE,1623294345
211,bodden town,19.2833,-81.25,81.93,64,20,7.67,KY,1623294345
212,pinellas park,27.8428,-82.6995,83.1,72,1,1.01,US,1623294304
213,palmer,42.1584,-72.3287,76.44,86,85,7.27,US,1623294345
214,egvekinot,66.3167,-179.1667,38.52,58,59,2.04,RU,1623294346
215,zambezi,-13.5432,23.1047,50.25,66,10,5.06,ZM,1623294346
216,saint-paul,-21.0096,55.2707,71.69,88,1,1.99,RE,1623294346
217,burayevo,55.8407,55.4083,55.87,88,89,10.92,RU,1623294346
218,gunjur,13.2019,-16.7339,77.07,94,0,6.46,GM,1623294347
219,petropavl,54.8753,69.1628,57.18,47,0,9.8,KZ,1623294347
220,adre,13.4667,22.2,81.9,36,68,5.01,TD,1623294347
221,matiri,-10.75,34.9,52.61,80,0,2.95,TZ,1623294348
222,sorland,67.667,12.6934,51.75,92,95,21.18,NO,1623294348
223,bridlington,54.0831,-0.1919,61.29,95,43,8.1,GB,1623294348
224,san rafael del sur,11.8485,-86.4384,75.24,90,99,7.49,NI,1623294348
225,ancud,-41.8697,-73.8203,44.13,78,36,10.83,CL,1623294349
226,esperance,-33.8667,121.9,60.64,56,40,24.14,AU,1623294349
227,burdur,37.7203,30.2908,56.1,94,75,2.53,TR,1623294349
228,qaqortoq,60.7167,-46.0333,43.3,94,57,6.26,GL,1623294349
229,bay roberts,47.5999,-53.2648,45.05,78,100,3.0,CA,1623294350
230,qazvin,36.2797,50.0049,65.82,63,0,0.0,IR,1623294350
231,fairbanks,64.8378,-147.7164,66.49,50,75,6.91,US,1623294326
232,chengde,40.9725,117.9361,80.51,40,2,2.64,CN,1623294350
233,dunedin,-45.8742,170.5036,50.81,77,100,8.01,NZ,1623294351
234,birin,26.8865,88.0718,69.78,79,98,2.24,NP,1623294351
235,darnah,32.767,22.6367,68.18,84,0,9.93,LY,1623294351
236,bredasdorp,-34.5322,20.0403,52.29,88,0,3.33,ZA,1623294351
237,vestmannaeyjar,63.4427,-20.2734,45.46,90,100,23.42,IS,1623294352
238,dingle,10.9995,122.6711,82.15,76,100,2.91,PH,1623294352
239,talnakh,69.4865,88.3972,34.48,98,100,3.49,RU,1623294352
240,vardo,70.3705,31.1107,52.0,83,99,3.11,NO,1623294352
241,shimoda,34.6667,138.95,84.11,67,0,9.24,JP,1623294353
242,puerto del rosario,28.5004,-13.8627,73.15,60,79,4.61,ES,1623294353
243,arandis,-22.4167,14.9667,47.46,37,0,4.29,NA,1623294353
244,tubuala,9.5167,-79.0333,80.33,85,100,3.83,PA,1623294354
245,beringovskiy,63.05,179.3167,38.44,95,99,4.88,RU,1623294354
246,meadow lake,34.8014,-106.5436,85.48,10,75,8.57,US,1623294292
247,chimbote,-9.0853,-78.5783,64.54,91,65,7.43,PE,1623294354
248,tukrah,32.5341,20.5791,68.14,86,29,7.07,LY,1623294354
249,neiafu,-18.65,-173.9833,75.69,68,10,16.24,TO,1623294073
250,morgan city,29.6994,-91.2068,80.01,94,1,5.26,US,1623294355
251,san miguel de cauri,-10.1,-76.5833,44.24,95,96,1.99,PE,1623294355
252,yonago,35.4333,133.3333,82.69,48,53,5.48,JP,1623294355
253,mananara,-16.1667,49.7667,66.72,92,49,6.78,MG,1623294356
254,songea,-10.6833,35.65,54.09,82,2,2.73,TZ,1623294136
255,tooele,40.5308,-112.2983,81.25,19,1,20.47,US,1623294356
256,cabo san lucas,22.8909,-109.9124,90.81,33,1,11.5,MX,1623294356
257,kedrovka,55.5333,86.05,52.68,41,1,7.34,RU,1623294356
258,lac du bonnet,50.2536,-96.0612,67.59,97,66,10.13,CA,1623294357
259,mlonggo,-6.5333,110.7,87.69,63,39,1.3,ID,1623294357
260,agua dulce,18.1333,-94.1333,81.3,85,90,9.98,MX,1623294357
261,bluffton,32.2371,-80.8604,79.95,89,1,7.56,US,1623294358
262,kankon,15.0167,74.0167,80.17,83,99,6.42,IN,1623294358
263,tamala,52.541,43.2515,59.22,84,50,5.1,RU,1623294358
264,boundiali,9.5217,-6.4869,71.56,94,99,3.36,CI,1623294358
265,jardim,-21.4803,-56.1381,65.8,97,71,1.1,BR,1623294359
266,port blair,11.6667,92.75,83.75,78,97,18.57,IN,1623294359
267,choya,52.0108,86.5467,53.89,89,98,2.84,RU,1623294359
268,olafsvik,64.8945,-23.7142,44.74,93,100,11.25,IS,1623294359
269,levelland,33.5873,-102.378,87.19,15,4,5.93,US,1623294360
270,ishigaki,24.3448,124.1572,82.53,80,100,14.76,JP,1623294360
271,bac lieu,9.285,105.7244,86.94,63,100,11.79,VN,1623294360
272,huarmey,-10.0681,-78.1522,65.57,87,47,10.56,PE,1623294360
273,yanliang,34.6592,109.2292,86.58,36,0,5.86,CN,1623294361
274,berlevag,70.8578,29.0864,51.8,74,92,1.14,NO,1623294361
275,arman,59.7,150.1667,51.76,69,9,8.63,RU,1623294361
276,broome,42.2506,-75.833,72.66,93,52,1.99,US,1623294362
277,aasiaat,68.7098,-52.8699,35.56,90,85,10.85,GL,1623294313
278,ulaangom,49.9811,92.0667,67.66,36,100,10.29,MN,1623294362
279,cherskiy,68.75,161.3,43.84,63,100,11.45,RU,1623294362
280,twin falls,42.3505,-114.6445,69.69,28,1,9.91,US,1623294363
281,khatanga,71.9667,102.5,55.26,35,95,10.02,RU,1623294363
282,dawson creek,55.7666,-120.2362,56.84,62,20,9.22,CA,1623294363
283,mount gambier,-37.8333,140.7667,57.11,82,98,18.41,AU,1623294363
284,the valley,18.217,-63.0578,81.1,81,100,17.87,AI,1623294254
285,champerico,14.3,-91.9167,80.35,81,98,4.18,GT,1623294364
286,taoudenni,22.6783,-3.9836,96.94,13,10,13.51,ML,1623294364
287,bilma,18.6853,12.9164,89.13,11,95,4.12,NE,1623294364
288,mariental,-24.6333,17.9667,51.3,39,0,7.23,NA,1623294364
289,codrington,-38.2667,141.9667,58.98,76,38,20.56,AU,1623294365
290,axim,4.8699,-2.2405,78.6,85,100,6.17,GH,1623294365
291,ostrovnoy,68.0531,39.5131,59.63,45,91,20.8,RU,1623294365
292,nuuk,64.1835,-51.7216,36.21,100,90,5.75,GL,1623294366
293,batticaloa,7.7102,81.6924,84.15,63,90,2.77,LK,1623294366
294,hyeres,43.1167,6.1167,66.33,84,0,4.61,FR,1623294366
295,sapa,5.1544,120.3241,84.9,66,98,3.38,PH,1623294366
296,thompson,55.7435,-97.8558,62.13,61,100,8.39,CA,1623294367
297,saldanha,-33.0117,17.9442,59.16,77,0,8.68,ZA,1623294367
298,chiredzi,-21.05,31.6667,55.2,75,0,1.9,ZW,1623294367
299,vitim,59.4511,112.5578,75.94,27,22,5.37,RU,1623294367
300,rawson,-43.3002,-65.1023,51.26,53,92,22.55,AR,1623294368
301,viseu,40.661,-7.9097,55.72,67,0,4.81,PT,1623294368
302,saquena,-4.6667,-73.5167,73.67,91,95,1.03,PE,1623294368
303,mnogovershinnyy,53.9353,139.9242,76.48,53,100,11.23,RU,1623294368
304,tymovskoye,50.8456,142.655,83.28,39,100,9.6,RU,1623294369
305,keningau,5.3378,116.1602,86.45,52,99,1.25,MY,1623294369
306,cayenne,4.9333,-52.3333,80.1,85,20,5.01,GF,1623294177
307,shache,38.4167,77.2406,83.79,20,0,9.19,CN,1623294369
308,aksu,41.1231,80.2644,78.89,29,79,6.58,CN,1623294370
